date,price,sma,multiple,percentile,volAdjPercentile
2020-07-08,9312.95,8768.445521879752,1.0620987230208827,32.65568708183222,34.01955738548636
2020-07-09,9363.25,8759.78884493911,1.0688903007910824,33.14462171899125,34.84302624807
2020-07-10,9198.42,8750.514561834088,1.0511860399752342,31.960885229027276,32.83582089552239
2020-07-11,9242.20,8743.679934550984,1.0570154512570555,32.39835306227483,33.530622748327325
2020-07-12,9242.85,8737.49479204718,1.0578378900973258,32.44981986618631,33.736489963973234
2020-07-13,9281.66,8731.195660007606,1.0630451907141742,32.758620689655174,34.30262480699949
2020-07-14,9215.59,8726.590188926937,1.0560350775857181,32.321152856407615,33.556356150283065
2020-07-15,9230.82,8723.45347355403,1.0581610970020443,32.47555326814205,33.91662377766341
2020-07-16,9145.79,8719.770910768642,1.048856683689389,31.83221821924859,32.758620689655174
2020-07-17,9128.13,8718.677965182645,1.0469627400707646,31.652084405558416,32.501286670097784
2020-07-18,9158.69,8716.53405289193,1.0507262867050589,31.9094184251158,33.09315491507977
2020-07-19,9153.07,8712.886356925415,1.0505208463696654,31.883685023160062,33.11888831703551
2020-07-20,9179.83,8708.897573249615,1.0540754033460151,32.26968605249614,33.40195573854864
2020-07-21,9271.48,8704.88975076103,1.0650889409305837,32.9130211013896,34.971693257848685
2020-07-22,9355.95,8701.542472412479,1.075206105915646,33.42768914050438,35.94956253216675
2020-07-23,9512.58,8699.477985159812,1.0934654820802034,34.84302624807,37.802367472979924
2020-07-24,9559.62,8698.799607115672,1.0989581913708544,35.434894493051985,38.3170355120947
2020-07-25,9598.69,8697.600496765597,1.1036021040403992,35.92382913021102,38.857436953165205
2020-07-26,9798.85,8697.088048135462,1.1266819376388433,37.699433865156976,40.58157488419969
2020-07-27,10250.35,8697.10364726027,1.1785932802923074,41.25064333504889,46.42305712815234
2020-07-28,10988.77,8699.198815829526,1.2631934987959046,48.97066392177046,56.845084920226455
2020-07-29,11055.49,8703.188694824958,1.2702800390360085,49.61399897066392,57.771487390633034
2020-07-30,11047.98,8707.37409208523,1.268806962714777,49.45959855892949,57.668553782810086
2020-07-31,11157.69,8710.844298325717,1.280896662454806,50.48893463715903,58.723623262995375
2020-08-01,11535.67,8713.950949010648,1.3238157630792862,55.94441585177561,62.06896551724138
2020-08-02,11443.45,8716.884340753419,1.3127917307626547,54.47761194029851,61.142563046834795
2020-08-03,11224.62,8718.857978691014,1.2873955255875364,51.44107050952136,59.36695831188883
2020-08-04,11255.37,8720.024299847786,1.2907495010174865,51.77560473494596,59.80442614513639
2020-08-05,11384.77,8719.231540905625,1.3057081479320571,53.8085434894493,61.091096242923314
2020-08-06,11737.19,8718.076128995424,1.346304629178831,58.95522388059702,63.998970663921774
2020-08-07,11749.99,8718.355372336371,1.3477297862284119,59.238291302110134,64.33350488934637
2020-08-08,11660.79,8718.1213828006,1.3375345318984164,57.668553782810086,63.84457025218734
2020-08-09,11683.14,8717.747865867572,1.3401557023267057,58.2089552238806,64.25630468347916
2020-08-10,11869.65,8717.766503044133,1.3615475963520063,61.21976325270201,65.72310859495624
2020-08-11,11720.29,8719.187912861484,1.3441950105927354,58.646423057128146,64.84817292846114
2020-08-12,11421.59,8720.04771042617,1.3098087181601765,54.220277920741125,62.99536798764797
2020-08-13,11526.45,8720.580044901057,1.3217528659009568,55.76428203808543,63.6901698404529
